TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold
1413,8,33,225,0.9755807027992853,0.872093023255814,0.9943701618578465,0.9656652360515021,0.9164969450101833,0.9332315925568302,0.9510981411482726,0.9806801630034532,0.9596944521811978,TF-IDF + logistic regression [reference],7
1410,11,104,154,0.9315068493150684,0.5968992248062015,0.9922589725545391,0.9333333333333333,0.7281323877068557,0.7945790986803702,0.8444750524564943,0.9119860454205739,0.8090555830626097,"CNN(untrained)+RF, V=100 [E1 as published]",8
1403,18,85,173,0.9386539606908875,0.6705426356589147,0.9873328641801549,0.9057591623036649,0.7706013363028954,0.8289377499195347,0.8675969899115027,0.9188337724825295,0.8300924000386973,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",8
1404,17,67,191,0.9499702203692674,0.7403100775193798,0.988036593947924,0.9182692307692307,0.8197424892703862,0.8641733357336518,0.8953484230584297,0.9243640519559868,0.856960802877985,"CNN+BiLSTM(trained)+sent+RF, V=100",8
1417,4,23,235,0.9839189994044074,0.9108527131782945,0.9971850809289233,0.9832635983263598,0.9456740442655934,0.954018897053609,0.9681183922830938,0.9751948895035161,0.9528846887845679,"CNN(trained)+RF, V=5000",8
1417,4,22,236,0.984514592019059,0.9147286821705426,0.9971850809289233,0.9833333333333333,0.9477911646586346,0.955956881549733,0.9693501277838628,0.9747434659509353,0.9517831510256236,"CNN(trained)+sent+RF, V=5000",8
1417,4,23,235,0.9839189994044074,0.9108527131782945,0.9971850809289233,0.9832635983263598,0.9456740442655934,0.954018897053609,0.9681183922830938,0.9793258923457113,0.9587136831239378,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",8
1413,8,30,228,0.97736748064324,0.8837209302325582,0.9943701618578465,0.9661016949152542,0.9230769230769232,0.9390455460452023,0.9549043833261711,0.9861286134341468,0.9684921626700986,TF-IDF + logistic regression [reference],8
1408,14,72,185,0.9487790351399643,0.7198443579766537,0.9901547116736991,0.9296482412060302,0.8114035087719299,0.8549995348251764,0.8908843870530911,0.9401265275520312,0.8610393732596836,"CNN(untrained)+RF, V=100 [E1 as published]",9
1409,13,66,191,0.9529481834425253,0.7431906614785992,0.990857946554149,0.9362745098039216,0.8286334056399132,0.8670243040163741,0.9006819082048374,0.9443432005122394,0.8796765467019344,"CNN+BiLSTM(untrained)+sent+RF, V=100 [E3 as published]",9
1406,16,47,210,0.9624776652769506,0.8171206225680934,0.9887482419127989,0.9292035398230089,0.8695652173913043,0.9029344322404461,0.9238260869565218,0.9462668352241321,0.9008130793588892,"CNN+BiLSTM(trained)+sent+RF, V=100",9
1421,1,18,239,0.98868374032162,0.9299610894941635,0.9992967651195499,0.9958333333333333,0.9617706237424547,0.9646289273068567,0.9775647945695846,0.9854277145687282,0.9719543387892531,"CNN(trained)+RF, V=5000",9
1421,1,18,239,0.98868374032162,0.9299610894941635,0.9992967651195499,0.9958333333333333,0.9617706237424547,0.9646289273068567,0.9775647945695846,0.983297487508688,0.9687930497199788,"CNN(trained)+sent+RF, V=5000",9
1416,6,18,239,0.9857057772483622,0.9299610894941635,0.9957805907172996,0.9755102040816327,0.9521912350597611,0.9628708401057315,0.9718939368576116,0.9843153994757206,0.9725842071224603,"CNN+BiLSTM(trained)+sent+RF, V=5000 [proposed]",9
1420,2,33,224,0.9791542584871947,0.8715953307392996,0.9985935302390999,0.9911504424778761,0.927536231884058,0.9350944304891997,0.9576811594202899,0.9818089280730269,0.9624421882632703,TF-IDF + logistic regression [reference],9
