TN,FP,FN,TP,accuracy,sensitivity,specificity,precision,f1,macro_recall,macro_f1,auroc,ap,model,fold,cohort,rule
103,0,14,3,0.8833333333333333,0.17647058823529413,1.0,1.0,0.3,0.5882352941176471,0.6181818181818182,0.8954882924043404,0.6059335178428263,CNN+BiLSTM(trained)+clinical+RF [proposed],2,complete-case,@tuned
100,3,10,6,0.8907563025210085,0.375,0.970873786407767,0.6666666666666666,0.4800000000000001,0.6729368932038835,0.7094835680751174,0.9335558252427184,0.6258808743248944,RF on clinical features only [baseline],3,complete-case,@0.5
102,1,13,3,0.8823529411764706,0.1875,0.9902912621359223,0.75,0.3,0.5888956310679612,0.6178899082568807,0.9335558252427184,0.6258808743248944,RF on clinical features only [baseline],3,complete-case,@tuned
101,2,11,5,0.8907563025210085,0.3125,0.9805825242718447,0.7142857142857143,0.43478260869565216,0.6465412621359223,0.6871587462082911,0.8889563106796117,0.667211805448667,CNN(untrained)+clinical+RF,3,complete-case,@0.5
103,0,13,3,0.8907563025210085,0.1875,1.0,1.0,0.3157894736842105,0.59375,0.6282143715453017,0.8889563106796117,0.667211805448667,CNN(untrained)+clinical+RF,3,complete-case,@tuned
103,0,10,6,0.9159663865546218,0.375,1.0,1.0,0.5454545454545454,0.6875,0.7495791245791246,0.9035194174757282,0.7166883807170219,CNN+BiLSTM(untrained)+clinical+RF [as published],3,complete-case,@0.5
103,0,10,6,0.9159663865546218,0.375,1.0,1.0,0.5454545454545454,0.6875,0.7495791245791246,0.9035194174757282,0.7166883807170219,CNN+BiLSTM(untrained)+clinical+RF [as published],3,complete-case,@tuned
101,2,9,7,0.907563025210084,0.4375,0.9805825242718447,0.7777777777777778,0.56,0.7090412621359223,0.7541784037558685,0.90625,0.700402630564767,CNN(trained)+clinical+RF,3,complete-case,@0.5
102,1,11,5,0.8991596638655462,0.3125,0.9902912621359223,0.8333333333333334,0.45454545454545453,0.6513956310679612,0.6994949494949495,0.90625,0.700402630564767,CNN(trained)+clinical+RF,3,complete-case,@tuned
103,0,10,6,0.9159663865546218,0.375,1.0,1.0,0.5454545454545454,0.6875,0.7495791245791246,0.9232402912621359,0.7508164695664695,CNN+BiLSTM(trained)+clinical+RF [proposed],3,complete-case,@0.5
103,0,11,5,0.907563025210084,0.3125,1.0,1.0,0.47619047619047616,0.65625,0.7127496159754225,0.9232402912621359,0.7508164695664695,CNN+BiLSTM(trained)+clinical+RF [proposed],3,complete-case,@tuned
102,1,10,6,0.907563025210084,0.375,0.9902912621359223,0.8571428571428571,0.5217391304347825,0.6826456310679612,0.735288169868554,0.8913834951456311,0.6521886647640026,RF on clinical features only [baseline],4,complete-case,@0.5
102,1,11,5,0.8991596638655462,0.3125,0.9902912621359223,0.8333333333333334,0.45454545454545453,0.6513956310679612,0.6994949494949495,0.8913834951456311,0.6521886647640026,RF on clinical features only [baseline],4,complete-case,@tuned
101,2,10,6,0.8991596638655462,0.375,0.9805825242718447,0.75,0.5,0.6777912621359223,0.7219626168224299,0.8822815533980581,0.577473871275299,CNN(untrained)+clinical+RF,4,complete-case,@0.5
102,1,12,4,0.8907563025210085,0.25,0.9902912621359223,0.8,0.38095238095238093,0.6201456310679612,0.6605222734254992,0.8822815533980581,0.577473871275299,CNN(untrained)+clinical+RF,4,complete-case,@tuned
102,1,11,5,0.8991596638655462,0.3125,0.9902912621359223,0.8333333333333334,0.45454545454545453,0.6513956310679612,0.6994949494949495,0.8844053398058253,0.6140932537904036,CNN+BiLSTM(untrained)+clinical+RF [as published],4,complete-case,@0.5
102,1,13,3,0.8823529411764706,0.1875,0.9902912621359223,0.75,0.3,0.5888956310679612,0.6178899082568807,0.8844053398058253,0.6140932537904036,CNN+BiLSTM(untrained)+clinical+RF [as published],4,complete-case,@tuned
101,2,10,6,0.8991596638655462,0.375,0.9805825242718447,0.75,0.5,0.6777912621359223,0.7219626168224299,0.8765169902912621,0.5633486109301327,CNN(trained)+clinical+RF,4,complete-case,@0.5
102,1,12,4,0.8907563025210085,0.25,0.9902912621359223,0.8,0.38095238095238093,0.6201456310679612,0.6605222734254992,0.8765169902912621,0.5633486109301327,CNN(trained)+clinical+RF,4,complete-case,@tuned
100,3,11,5,0.8823529411764706,0.3125,0.970873786407767,0.625,0.4166666666666667,0.6416868932038835,0.6756230529595015,0.8467839805825244,0.501390061580798,CNN+BiLSTM(trained)+clinical+RF [proposed],4,complete-case,@0.5
102,1,13,3,0.8823529411764706,0.1875,0.9902912621359223,0.75,0.3,0.5888956310679612,0.6178899082568807,0.8467839805825244,0.501390061580798,CNN+BiLSTM(trained)+clinical+RF [proposed],4,complete-case,@tuned
101,3,13,3,0.8666666666666667,0.1875,0.9711538461538461,0.5,0.2727272727272727,0.5793269230769231,0.5996663886572143,0.8608774038461539,0.498030858030858,RF on clinical features only [baseline],5,complete-case,@0.5
104,0,15,1,0.875,0.0625,1.0,1.0,0.11764705882352941,0.53125,0.525191242416249,0.8608774038461539,0.498030858030858,RF on clinical features only [baseline],5,complete-case,@tuned
